slug,name,category,has_pe_metadata,has_installation_paths,has_capabilities,has_supported_os,has_disk,has_eventlog,has_registry,has_network,has_other,has_detections,empty_sections
multcloud,MultCloud,RAT,True,True,False,False,False,False,False,False,False,False,capabilities | supported_os | disk | eventlog | registry | network | other | detections
mygreenpc,MyGreenPC,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
myivo,MyIVO,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
n-able_advanced_monitoring_agent,N-Able Advanced Monitoring Agent,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
n-able_remote_access_software,N-ABLE Remote Access Software,RMM,True,False,False,False,False,False,False,True,False,True,installation_paths | capabilities | supported_os | disk | eventlog | registry | other
n-ableadvancedmonitoringagent,N-Able Advanced Monitoring Agent,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
naverisk,Naverisk,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
netbird,NetBird,RAT,True,True,True,True,True,True,False,True,False,False,registry | other | detections
netlock_rmm,NetLock RMM,RMM,True,True,False,True,True,False,False,False,False,True,capabilities | eventlog | registry | network | other
netmonitor,Net Monitor for Employees,RMM,False,True,True,True,False,False,False,False,False,True,pe_metadata | disk | eventlog | registry | network | other
netop,Netop,RMM,True,True,False,True,False,False,False,False,False,False,capabilities | disk | eventlog | registry | network | other | detections
netop_remote_control_(aka_impero_connect),Netop Remote Control (aka Impero Connect),RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
netop_remote_control_(impero_connect),Netop Remote Control (Impero Connect),RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
netreo,Netreo,RMM,True,False,False,False,False,False,False,True,False,True,installation_paths | capabilities | supported_os | disk | eventlog | registry | other
netsupport_manager,NetSupport Manager,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
netsupportmanager,NetSupport Manager,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
neturo,Neturo,RMM,True,True,False,True,False,False,False,True,False,True,capabilities | disk | eventlog | registry | other
netviewer,Netviewer,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
netviewer_(gotomeet),Netviewer (GoToMeet),RMM,True,True,False,False,False,False,False,False,False,True,capabilities | supported_os | disk | eventlog | registry | network | other
ngrok,ngrok,RAT,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
ninjaone_(formerly_ninjarmm),NinjaOne (formerly NinjaRMM),RMM,True,True,False,False,False,False,False,False,False,False,capabilities | supported_os | disk | eventlog | registry | network | other | detections
ninjarmm,NinjaRMM,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
nomachine,NoMachine,RAT,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
nordlocker,NordLocker,RAT,True,False,False,False,False,False,False,False,False,False,installation_paths | capabilities | supported_os | disk | eventlog | registry | network | other | detections
noteon-desktop_sharing,NoteOn-desktop sharing,RAT,True,True,False,False,False,False,False,False,False,True,capabilities | supported_os | disk | eventlog | registry | network | other
ntr_remote,NTR Remote,RMM,True,True,False,True,False,False,False,True,False,True,capabilities | disk | eventlog | registry | other
nvda,NVDA (Non-Visual Desktop Access),RMM,True,True,True,True,True,True,False,True,False,False,registry | other | detections
ocs_inventory,OCS inventory,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
onionshare,Onionshare,RAT,True,True,False,False,False,False,False,False,False,True,capabilities | supported_os | disk | eventlog | registry | network | other
optitune,OptiTune,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
pandora_rc_(ehorus),Pandora RC (eHorus),RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
panorama9,Panorama9,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
parallelsaccess,Parallels Access,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
parsec,Parsec,RAT,True,True,True,True,True,True,False,True,False,True,registry | other
pcanywhere,pcAnywhere,RAT,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
pchelpware,PChelpware,RMM,False,True,True,True,True,False,False,False,False,True,pe_metadata | eventlog | registry | network | other
pcnow,Pcnow,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
pcvisit,Pcvisit,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
pdq_connect,PDQ Connect,RMM,True,True,False,False,True,False,False,True,False,True,capabilities | supported_os | eventlog | registry | other
pilixo,Pilixo,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
pocket_cloud_(wyse),Pocket Cloud (Wyse),RMM,True,True,False,False,False,False,False,False,False,True,capabilities | supported_os | disk | eventlog | registry | network | other
pocket_controller,Pocket Controller,RMM,True,True,False,True,False,False,False,True,False,True,capabilities | disk | eventlog | registry | other
pocket_controller_(soti_xsight),Pocket Controller (Soti Xsight),RMM,True,True,False,True,False,False,False,True,False,True,capabilities | disk | eventlog | registry | other
psexec,PSEXEC,RAT,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
psexec_(clone),PSEXEC (Clone),RAT,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
pulseway,Pulseway,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
putty,PuTTY,RAT,True,True,False,False,False,False,False,False,False,True,capabilities | supported_os | disk | eventlog | registry | network | other
putty_tray,PuTTY Tray,RAT,True,True,False,False,False,False,False,False,False,True,capabilities | supported_os | disk | eventlog | registry | network | other
qq_im-remote_assistance,QQ IM-remote assistance,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
quest_kace_agent_(formerly_dell_kace),Quest KACE Agent (formerly Dell KACE),RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
quickassist,Quick Assist,RAT,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
radmin,RAdmin,RMM,True,True,False,True,True,False,True,True,False,True,capabilities | eventlog | other
rapid7,Rapid7,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
rdclient,RdClient,RAT,False,True,True,True,True,False,True,False,False,True,pe_metadata | eventlog | network | other
rdcman,RDCMan,RAT,False,True,True,True,False,False,False,False,False,True,pe_metadata | disk | eventlog | registry | network | other
rdp2tcp,rdp2tcp,RAT,True,True,False,True,False,False,False,True,False,True,capabilities | disk | eventlog | registry | other
rdpview,RDPView,RAT,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
rdpwrap,rdpwrap,RAT,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
realvnc,RealVNC,RAT,True,False,False,False,False,False,False,False,False,False,installation_paths | capabilities | supported_os | disk | eventlog | registry | network | other | detections
remcos,Remcos,RMM,True,True,False,False,False,False,False,False,False,True,capabilities | supported_os | disk | eventlog | registry | network | other
remmina,Remmina,RAT,True,False,False,False,False,False,False,False,False,False,installation_paths | capabilities | supported_os | disk | eventlog | registry | network | other | detections
remmon,Remmon,RMM,False,True,True,True,False,False,False,False,False,True,pe_metadata | disk | eventlog | registry | network | other
remobo,Remobo,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
remote.it,Remote.it,RMM,True,True,False,True,False,False,False,True,False,True,capabilities | disk | eventlog | registry | other
remote_desktop_manager_(devolutions),Remote Desktop Manager (Devolutions),RAT,True,False,False,False,False,False,False,False,False,False,installation_paths | capabilities | supported_os | disk | eventlog | registry | network | other | detections
remote_desktop_plus,Remote Desktop Plus,RAT,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
remote_manipulator_system,Remote Manipulator System,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
remote_utilities,Remote Utilities,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
remotecall,RemoteCall,RMM,True,True,False,True,False,False,False,True,False,True,capabilities | disk | eventlog | registry | other
remotepass,RemotePass,RMM,True,True,False,True,False,False,False,True,False,True,capabilities | disk | eventlog | registry | other
remotepc,RemotePC,RMM,True,True,False,True,False,False,False,True,False,True,capabilities | disk | eventlog | registry | other
remoteripple,Remote Ripple,RMM,False,True,True,True,True,False,False,False,False,True,pe_metadata | eventlog | registry | network | other
remoteutilities,RemoteUtilities,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
remoteview,RemoteView,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
res_automation_manager,RES Automation Manager,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
rocketremotedesktop,Rocket Remote Desktop,RMM,True,True,False,True,False,False,False,False,False,True,capabilities | disk | eventlog | registry | network | other
royal_apps,Royal Apps,RMM,True,True,False,True,False,False,False,True,False,True,capabilities | disk | eventlog | registry | other
royal_server,Royal Server,RMM,True,False,False,False,False,False,False,True,False,True,installation_paths | capabilities | supported_os | disk | eventlog | registry | other
royal_ts,Royal TS,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
rport,RPort,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
rudesktop,RuDesktop,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
runsmart,RunSmart,RMM,True,False,False,False,False,False,False,True,False,True,installation_paths | capabilities | supported_os | disk | eventlog | registry | other
rustdesk,RustDesk,RMM,True,True,False,True,True,False,False,True,False,True,capabilities | eventlog | registry | other
s3_browser,S3 Browser,RAT,True,True,False,False,False,False,False,False,False,True,capabilities | supported_os | disk | eventlog | registry | network | other
screenconnect,ScreenConnect,RMM,True,True,True,True,True,False,False,True,False,True,eventlog | registry | other
screenmeet,ScreenMeet,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
securecrt,SecureCRT,RAT,True,True,False,False,False,False,False,False,False,True,capabilities | supported_os | disk | eventlog | registry | network | other
seetrol,Seetrol,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
senso.cloud,Senso.cloud,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
servereye,ServerEye,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
showmypc,ShowMyPC,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
simplehelp,SimpleHelp,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
site24x7,Site24x7,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
skyfex,SkyFex,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
smartcode_web_vnc,SmartCode Web VNC,RAT,True,True,False,False,False,False,False,False,False,False,capabilities | supported_os | disk | eventlog | registry | network | other | detections
smartftp,SmartFTP,RAT,True,True,False,False,False,False,False,False,False,False,capabilities | supported_os | disk | eventlog | registry | network | other | detections
smartty,SmarTTY,RAT,True,True,False,False,False,False,False,False,False,True,capabilities | supported_os | disk | eventlog | registry | network | other
solar-putty,Solar-PuTTY,RAT,True,True,False,False,False,False,False,False,False,True,capabilities | supported_os | disk | eventlog | registry | network | other
sophos-remote_management_system,Sophos-Remote Management System,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
sorillus,Sorillus,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
splashtop,Splashtop,RMM,True,True,False,False,True,True,True,True,False,True,capabilities | supported_os | other
splashtop_remote,Splashtop Remote,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
splashtopbeta,Splashtop (Beta),RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
spyanywhere,SpyAnywhere,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
sunlogin,SunLogin,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
superops,SuperOps,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
superputty,SuperPuTTY,RAT,True,True,False,False,False,False,False,False,False,True,capabilities | supported_os | disk | eventlog | registry | network | other
supremo,Supremo,RMM,True,True,True,True,False,False,False,True,False,True,disk | eventlog | registry | other
syncro,Syncro,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
syncthing,Syncthing,RAT,True,True,False,True,False,False,False,False,False,True,capabilities | disk | eventlog | registry | network | other
synergy,Synergy,RAT,True,False,False,False,False,False,False,True,False,True,installation_paths | capabilities | supported_os | disk | eventlog | registry | other
sysaid,SysAid,RMM,True,True,False,False,False,False,False,False,False,True,capabilities | supported_os | disk | eventlog | registry | network | other
syspectr,Syspectr,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
tactical_rmm,Tactical RMM,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
tailscale,Tailscale,RAT,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
tanium,Tanium,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
taniumdeploy,Tanium Deploy,RMM,True,False,False,False,False,False,False,True,False,True,installation_paths | capabilities | supported_os | disk | eventlog | registry | other
teamviewer,TeamViewer,RMM,True,True,False,True,True,True,True,True,True,True,capabilities
teledesktop,TeleDesktop,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
terminals,Terminals,RAT,True,False,False,False,False,False,False,False,False,False,installation_paths | capabilities | supported_os | disk | eventlog | registry | network | other | detections
tigervnc,TigerVNC,RAT,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
tightvnc,TightVNC,RAT,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
tmate,tmate,RAT,True,True,True,True,True,False,False,True,False,False,eventlog | registry | other | detections
todesk,ToDesk,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
total_software_deployment,Total Software Deployment,RMM,True,True,False,False,False,False,False,False,False,True,capabilities | supported_os | disk | eventlog | registry | network | other
turbomeeting,TurboMeeting,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
ultra_vnc,Ultra VNC,RAT,True,True,False,False,False,False,False,False,False,True,capabilities | supported_os | disk | eventlog | registry | network | other
ultraviewer,UltraViewer,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
ultravnc,UltraVNC,RAT,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
updatesimplehelp,SimpleHelp,RMM,True,True,False,True,False,False,False,True,False,True,capabilities | disk | eventlog | registry | other
veyon,Veyon,RAT,True,True,True,True,True,True,True,False,False,True,network | other
visual_studio_dev_tunnel,Visual Studio Dev Tunnel,RAT,True,False,False,False,False,False,False,True,False,True,installation_paths | capabilities | supported_os | disk | eventlog | registry | other
vnc,VNC,RAT,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
vnc_connect,VNC Connect,RAT,True,True,False,False,False,False,False,False,False,False,capabilities | supported_os | disk | eventlog | registry | network | other | detections
webex_(remote_access),WebEx (Remote Access),RMM,True,False,False,False,False,False,False,False,False,False,installation_paths | capabilities | supported_os | disk | eventlog | registry | network | other | detections
webrdp,WebRDP,RAT,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
weezo,Weezo,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
winscp,WinSCP,RAT,True,True,False,False,False,False,False,False,False,True,capabilities | supported_os | disk | eventlog | registry | network | other
x2go,X2Go,RAT,True,False,False,False,False,False,False,False,False,False,installation_paths | capabilities | supported_os | disk | eventlog | registry | network | other | detections
xeox,Xeox,RMM,True,True,False,True,False,False,False,True,False,True,capabilities | disk | eventlog | registry | other
xpra,Xpra,RAT,True,True,False,True,False,False,False,False,False,True,capabilities | disk | eventlog | registry | network | other
xrdp,XRDP,RAT,True,False,False,False,False,False,False,False,False,False,installation_paths | capabilities | supported_os | disk | eventlog | registry | network | other | detections
xshell,Xshell,RAT,True,True,False,False,False,False,False,False,False,True,capabilities | supported_os | disk | eventlog | registry | network | other
yandex.disk,Yandex.Disk,RAT,True,True,False,False,False,False,False,False,False,True,capabilities | supported_os | disk | eventlog | registry | network | other
zabbix_agent,Zabbix Agent,RMM,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
zerotier,ZeroTier,RAT,True,True,False,False,False,False,False,True,False,True,capabilities | supported_os | disk | eventlog | registry | other
zoc,ZOC,RAT,True,True,False,False,False,False,False,False,False,True,capabilities | supported_os | disk | eventlog | registry | network | other
zohoassist,Zoho Assist,RMM,True,True,False,True,False,False,False,True,False,True,capabilities | disk | eventlog | registry | other
